#,Topic,Description,Gcore Products,Status,Notes
1,Block traffic from specific countries,Block requests from unwanted countries. Configured in the portal without API access.,WAAP,Ready to write,-
2,Allow traffic from specific countries only,Allow only selected countries and block everything else. For regional compliance.,WAAP,Verify first,Need to confirm NOT-operator in custom rules with engineering before writing
3,Allow search engine bots and block bad bots,Allow Googlebot and SEO tools. Block scrapers and headless browsers.,WAAP,Ready to write,Adding a custom bot requires a support request - must mention in the article
4,Challenge bad bots with CAPTCHA or JS Challenge,Challenge suspicious traffic instead of blocking outright. Fewer false positives.,WAAP,Ready to write,-
5,Protect admin and high-privilege paths by IP,Restrict /admin and /dashboard to known office IPs. No VPN or extra software needed.,WAAP,Ready to write,-
6,Geo-block with exceptions for traveling employees,Block a country but allow specific IPs for business travel and corporate VPN.,WAAP,Ready to write,No CIDR/subnet support - individual IPs or first-last range only. Must mention.
7,Require specific HTTP headers for API access,Enforce X-API-Key or Authorization on every request. Block requests without the header.,WAAP,Ready to write,-
8,Protect login pages from bots and automated attacks,Protect /login and /wp-login.php from bots. Behavioral protection - not attempt-count rate limiting.,WAAP,Ready to write,Rate limit min threshold is 21 requests - too high for login protection. Frame as behavioral/bot-based defense.
9,Allowlist CI/CD pipelines and monitoring tools,Allow GitHub Actions / Datadog / UptimeRobot to pass through without being blocked.,WAAP,Ready to write (with caveats),IP Allowlist bypasses ALL security checks. Warning is mandatory.
10,Rate limit REST API endpoints,Set different request limits for /api/search vs /api/export. Protect against abuse and DDoS.,WAAP,Ready to write (developer),API-only configuration - not available in the portal. Must include ready-to-use code examples.
11,Prevent content scraping,Protect content from scrapers and price bots. Relevant for media and e-commerce.,WAAP,Ready to write,-
12,Protect your origin server,Route all traffic through CDN and WAAP. Lock down origin to Gcore IP ranges only.,CDN + WAAP + Cloud,Coordinate with teams,Needs sign-off from CDN and Cloud teams before writing
13,Layered DDoS defense,L3/L4 DDoS Protection + WAAP L7 together for full-stack DDoS coverage.,DDoS Protection + WAAP,Coordinate with teams,Needs sign-off from DDoS team
14,Protect a Gcore Cloud-hosted application,End-to-end walkthrough: Cloud VM + WAAP + allowlist WAAP IPs on VM security group.,Cloud + WAAP,Coordinate with teams,Needs sign-off from Cloud team
15,High availability with DNS failover and WAAP,Configure DNS failover so WAAP protection is maintained when the origin switches.,DNS + WAAP,Verify behavior,Confirm how WAAP handles origin change during DNS failover - non-obvious scenario
